causality_actor_process_image_path	os_actor_process_image_path	os_actor_process_image_name	action_local_port	action_remote_ip	dst_action_external_hostname	action_remote_port	count_endpoints
/Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd	/Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd	usbmuxd	53642	192.168.1.99		62078	1
/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	com.apple.WebKit.Networking	57911	18.67.145.5	applet-bundles.grammarly.net	443	1
/System/Applications/Messages.app/Contents/MacOS/Messages	/System/Applications/Messages.app/Contents/MacOS/Messages	Messages	50488	1.0.0.1		53	1
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	192.168.18.1		53	4
/System/Applications/Books.app/Contents/MacOS/Books	/System/Applications/Books.app/Contents/MacOS/Books	Books	56271	17.248.201.70	stocks-edge.apple.com	443	1
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	55843	187.85.0.6		53	1
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	53	192.168.25.1		53	2
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	10.101.231.53		53	29
/System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight	/System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight	Spotlight	53	200.21.200.80		53	2
/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	com.apple.WebKit.Networking	55946	108.158.168.25	dvqigh9b7wa32.cloudfront.net	443	1
/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	WeatherWidget	59474	192.168.156.1		53	1
/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	com.apple.WebKit.Networking	62704	18.67.145.5	applet-bundles.grammarly.net	443	1
/System/Applications/Books.app/Contents/MacOS/Books	/System/Applications/Books.app/Contents/MacOS/Books	Books	50690	151.101.95.6	bag.itunes.apple.com	443	1
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	53	181.213.132.2		53	41
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	181.213.132.4		53	31
/Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline	/Applications/Xcode-14.2.0.app/Contents/Developer/Platforms/iPhoneOS.platform/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS.simruntime/Contents/Resources/RuntimeRoot/System/Library/PrivateFrameworks/CoreParsec.framework/parsecd	parsecd	54577	18.229.177.99	api.smoot.apple.com	443	1
/usr/sbin/spindump	/usr/sbin/spindump	spindump	53	192.168.86.1		53	8
/usr/sbin/spindump	/usr/sbin/spindump	spindump	53	10.101.231.53		53	22
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	53	23.56.160.198		53	1
